blog
"Simple but practicle This is simple, well made and appears to be durable. The size means that I can sit in my favorite chair with my laptop. Other units that I have used were either larger than I wanted, or overly complicated and subject to breakage."
"Very sturdy, metal, uncomfortable. If you're looking for something to keep your laptop cool, this will do the trick. Although only bad things are, it isn't comfortable sitting on your lap as the metal just isn't awesome. The rivets where you rest your hands are welded things and they're uncomfortable as they dig into your hands when trying to type or even resting your hands. Wouldn't recommend.."
"A good, basic backpack that is a very good value This is a very basic, functional backpack that does the job that it when designed for. Unlike other, more expensive models, this one does not have the feel or look of something that you would show off to your friends. However, it holds my 16 laptop quite well and has enough pockets to contain all of my usual travel gear. The material seems to be fairly durable but it makes a crinkly sound when touched or moved. This would be a good choice for a teenager who is hard on his belongings."
A perfect Laptop Backback I purchase two of these backpacks for my wife and son's laptops. The case is well constructed and has many compartments. Its a great backpack for the price.
Backpack Love the backpack....lots of pockets for all my needs...when i travel it fits everything for my travel...makes a lot easier
beware of size Too small for 17 he envy very tight fit. Otherwise great product
"Fits a 17.3 laptop quite snuggly, but... The bag fits a 17.3 laptop quite snuggly, but it fits nonetheless. There is a considerable amount of space in each of the available sections, along several accessory pockets for those smaller items. The 2 mesh side pockets are big enough for a standard plastic water bottle, but not big enough for a nalgene water bottle.Taking it on a couple destinations so if there are any issues I find with it, I will edit my comments accordingly. As it stands now, good solid bag for the price and it does fit larger laptops."
Five Stars Love it
Four Stars Great for the price It's much more durable than anything I could get at Walmart.
"Good quality but the laptop compartment is not padded enough. The backpack is great quality. The only reason I gave it 4/5 stars is because I wouldn't trust the laptop slot alone to protect my laptop. It's not padded enough. If I had a choice I'd rather the laptop slot be replaced with a waterproof cooler space as I purchased this for hiking. That is my only gripe, other than that the bag is great quality, comfortable and has plenty of space. Well worth the price."
"Good quality, too many zippers Too many zippers IMO. Good quality, but the zippers frequently get caught making it slightly annoying to open."
great backpack... well worth the money Amazing..... Sturdy and well pocketed.... Well worth the investment...very happy with this purchase. It has been holding up quite nicely.
"Great basic backpack that compares favorably with better known brand name packs PROS:Well made/good constructionCompares very favorably to famous brand-name packsNo obvious brandingGreat attention to detailLarge main compartmentLots of subcompartmentsOrganizer for pens/sundries in the front compartmentCONS:Generic looksTop handle is minimally padded/perfunctoryStiff nylon in some interior parts makes an audible 'crinkly' sound when movedThe AmazonBasics Laptop Backpack is a well-made, fully featured backpack that can accommodate laptops up to 17 inches wide. This is a simply designed but good looking backpack that could meet most students' needs.The bag is basically a simple, but stylish enough design, with grey highlights and some orange piping on the front. There are enough characteristics to make the bag distinctive but there is no obvious branding on the front. If you look closely, you can find the Amazon basics logo embossed on the black zippers. But you'd have to look really closely. The shoulder straps are backed with a mesh-like material that reduces slippage and are sufficiently wide and padded so that they are comfortable.The main compartment is generous in size, open and closed with two zippers, and is basically broken up into two areas. The back area is generously padded on both sides and is meant to house the laptop. The padding is as good as or even more generous than what I have seen in standard backpacks made by companies like JanSport or L.L. Bean. There is a single large sleeve in front of the padding that is large enough to hold a standard, letter-sized manilla folder filled with papers. The front compartment is basically wide open and has room for traditional textbooks (assuming people still use these) or any other paraphernalia.There are two compartments in the front. There is mid-sized compartment that is in front of the main compartment and a smaller front compartment with the obligatory organizer/pockets to hold pens, a cellphone etc. There is even an internal clip in the front compartment for keys.Additionally, there are small mesh pockets on the sides of the pack and a quick-access, zippered pocket on the very top of the pack. There's even a small mesh pocket on the bottom of the left shoulder strap.Although I doubt that this is ballistic nylon, it appears to be very well made. The edges line up very well and there is no dog-earing in the fabric. The top handle is only minimally padded and a bit flimsy for a pack this size. Clearly, you could lift the pack via the handle to move it from the floor to your desk, but the handle isn't comfortable or sturdy enough to carry the pack like a suitcase. The nylon that makes up the dividers is stiff and makes an audible crinkly sound when manipulated. This likely will go away over time, but if you are late to class and walking into a quiet lecture hall this could be a distraction.The zippers move easily. They are large enough to grip and they all have nylon tags sewn to the end to make them easier to pull. The zippers seem strong enough for a pack of this size and caliber.All-in-all this is a very well made back pack at an excellent price point. It may not win major style points for some students, but it is a great basic backpack."
"Great for traveling. I ordered this backpack in anticipation of a 10-day vacation to Universal Studios and a Royal Caribbean cruise. I needed something to carry my laptop where I could easily remove it for security, and that had lots of pockets for my travel papers and various things I needed to keep my 6yo busy.This AmazonBasics laptop is well-made and sturdy with a variety of pocket sizes and places to put stuff. Whatever material they used for the inside of the bag makes it very loud and crinkly, but also easy to clean. There is at least one pocket that seems extraneous and almost gets in the way, and when all the pockets are closed, there is an over abundance of zipper pulls. But the bag traveled very well and I like the sleeker style of it.The backpack is a bit much for everyday use (just in bulk and number of pockets, etc), but I'm happy to have it for future travels."
Great stuff I was expecting the backpack to be a little flimsy consider the price but it's great. The padding for my back and the laptop pocket is nice and thick. There is even a secondary pocket on the front of the laptop pouch that can fit my 8 tablet. Overall I really like it because it has so many pockets and little compartments. The only bad thing I can see about it is how they made it so cheap is that the material inside for like the pockets and stuff is really flimsy so it'll be easily punctured by pens and pencils and stuff. For me though that's no big deal because the outside of it is sturdy and will keep my stuff safe.
"Great tech bag for great price. Very nice bag with lots of compartments and plenty of room for laptop, tablet, notebook, and accessories. I especially like cinch straps to adjust the width to your items. Top zippers were a little tight at first, but quickly loosened up."
"I like all the different pockets to keep all my gear ... AmazonBasics delivers a top quality backpack for the price. I like all the different pockets to keep all my gear organized. The material used to make the backpack are light weight but very strong. Works great for traveling and held everything I needed to travel with. I recommend this backpack to anyone who travels with a large laptop, my 17 inch fit perfectly."
"Main pocket does not open wide as I would like This bag does not fit my 17-inch laptop, although mine is a little bigger than many. You would need a relatively thin 17-inch laptop to make this work. Also, as some other reviewers described, it has a cheap-feeling inner lining. I also do not like that the zippers for the main pocket do not extend toward the base farther, so this does not open as wide as I would like. It will get the job done and serves as a replacement for my previous backpack, which was falling apart, but I do not think I would really recommend it to anyone."
many department for my idems and is perfectly design fitted ... many department for my idems and is perfectly design fitted for my needs.
"Nice Bag and great price Lots of pockets, but zipper covers actually make opening and closing a bit more difficult."
"not a good thing with these heavy South Florida rains Delivered as promised, well packaged ... only problem ... does NOT appear to be waterproof ... not a good thing with these heavy South Florida rains."
"Not Bad But A Little Too Bulky There's a lot of space with the Amazon Basics laptop and a number of great compartments, but the material it's made from feels kind of stiff and inexpensive. I was impressed at how much I could get into this backpack, but once it was packed it felt very big and bulky. My normal backpack is a smaller one from Timberline which has less compartments but seems to hold a great deal of stuff and not feel nearly as bulky as this one."
"One of the best backpacks I've ever owned Even though this is classified as a laptop backpack, I'm really finding it much more useful as an all-purpose backpack. Of course, you could carry your laptop in it - there's a compartment specifically designed for one (17 or less) - but it's also comfortable and useful for general use.The backing is very sturdy. This sturdiness is designed to protect a laptop from tumbles and falls, but I love it for other reasons: First, I can throw all sorts of junk in this backpack (big books, a lunchbox, shoes, etc.) and nothing bulges from the back. This happens often with other backpacks, causing them to be difficult to carry, but the sturdy backing prevents this here. Second, it is quite comfortable. It's not a hard plastic backing, but just seems to be rigidly padded, and it almost feels like it's helping my posture when I wear it.My only complaint, and it isn't a big one, is that there are almost too many pockets and organizational compartments. It can get a bit complicated remembering where something is, especially if you have a lot of stuff. This may just take a bit more getting used to, however, and it doesn't diminish the fact that this is a really great backpack. In fact I'd add that all this extra room inside the backpack is a bonus. Yes, I am really quite liking this backpack."
"Perfect no. of compartments Pros- Feels Light weight even when stuffed fully. Perfect no. of compartments.Cons - Poor zipper quality, side ouch for water container is small."
Sturdy Well made. Seems sturdy. Multiple compartments to store gear.Very price effective compared to other products made for the same uses.I'll see how it holds up with time.
"Winner I'm a lifelong backpack user, starting back after WW2 when my father outfitted us all with Army surplus items. Hi ho, hi ho, it's off to hike we go. Or snowshoe. Oh, it was a different world then, and I'm not saying better. The equipment was heavy and prone to mildew if you weren't careful, as it was all made of natural fiber with metal fittings. And they hadn't yet heard of ergonomicsHere we have yet another AmazonBasics product that is a winner. An improved, contemporary version of that old military surplus that first accompanied us into the woods - I've followed a lifetime of upgrades. This is a nice big bag with lots of pockets and zippers. Like most of today's technical products, it is a tradeoff between total protection and portability. So no, you wouldn't throw this with your laptop inside and expect complete protection. But it is made of high quality nylon and other tekkie fabrics, has adequate padding and well shaped, comfortable pack straps, a handle on top where it belongs, and more straps, buckles and pockets here and there. I love straps, buckles and pockets.It can be expected to be water resistant, although for extended use in rain you would need a separate rain cover made of coated waterproof nylon. This backpack has a very pleasing look, mostly black with orange accents and is a nice conservative shape. And it is a very good value, which you will discover if you go shopping at the well-known places for this kind of thing."
"Zipper issue. Otherwise good. Zipper on front kept coming apart. Since this opens to the base of the backpack, I almost lost an item. Double check this when you get it give it a few solid tugs"
"BETTER THAN NOTHING, But not as good as.... 25 people found this helpful. Was this review helpful to you Yes No BETTER THAN NOTHING, But not as good as the CASE LOGIC: ELS-111 11 Chromebook/Surface 3 Sleeve. Fits the MacAir 11.6 perfect. The Amazon sleeve is simply neoprene, which snags and has so much friction, it doesn't easily slide in/out of my backpack. The Amazon quality is decent, but looks like a beer can cozy (koozie) compared to the CASE LOGIC. The CASE LOGIC IS NOT just NEOPRENE! It is highly protective, light, low density foam encased in canvas. It's more durable and slide in and out of my backpack better. Also the CASE LOGIC opens on two sides not just a slit on one side like the Amazon.(I bought both, and tried to return the AmazonBasics, yet Amazon was going to charge me 8.34 to send it back.. so i am keeping it.. Don't waste your time.. Don't make my mistake, buy the CASE LOGIC ELS-111 11 (note: last photo of Case Logic sleeve)"
"BETTER THAN NOTHING, But not as good as.... 26 people found this helpful. Was this review helpful to you Yes No BETTER THAN NOTHING, But not as good as the CASE LOGIC: ELS-111 11 Chromebook/Surface 3 Sleeve. Fits the MacAir 11.6 perfect. The Amazon sleeve is simply neoprene, which snags and has so much friction, it doesn't easily slide in/out of my backpack. The Amazon quality is decent, but looks like a beer can cozy (koozie) compared to the CASE LOGIC. The CASE LOGIC IS NOT just NEOPRENE! It is highly protective, light, low density foam encased in canvas. It's more durable and slide in and out of my backpack better. Also the CASE LOGIC opens on two sides not just a slit on one side like the Amazon.(I bought both, and tried to return the AmazonBasics, yet Amazon was going to charge me 8.34 to send it back.. so i am keeping it.. Don't waste your time.. Don't make my mistake, buy the CASE LOGIC ELS-111 11 (note: last photo of Case Logic sleeve)"
"BETTER THAN NOTHING, But not as good as.... 27 people found this helpful. Was this review helpful to you Yes No BETTER THAN NOTHING, But not as good as the CASE LOGIC: ELS-111 11 Chromebook/Surface 3 Sleeve. Fits the MacAir 11.6 perfect. The Amazon sleeve is simply neoprene, which snags and has so much friction, it doesn't easily slide in/out of my backpack. The Amazon quality is decent, but looks like a beer can cozy (koozie) compared to the CASE LOGIC. The CASE LOGIC IS NOT just NEOPRENE! It is highly protective, light, low density foam encased in canvas. It's more durable and slide in and out of my backpack better. Also the CASE LOGIC opens on two sides not just a slit on one side like the Amazon.(I bought both, and tried to return the AmazonBasics, yet Amazon was going to charge me 8.34 to send it back.. so i am keeping it.. Don't waste your time.. Don't make my mistake, buy the CASE LOGIC ELS-111 11 (note: last photo of Case Logic sleeve)"
"Perfect. 339 people found this helpful. Was this review helpful to you Yes No Recently, I spent my hard earned money on a 13.3 Macbook Pro Mid 2012. I like to take care of my personal belongings, and this 1000 piece of machinery was no exception. So this began my search for a laptop sleeve. Wandering my local general stores (Wal-Mart, Target, Best Buy, etc.) I noticed a cheap laptop sleeve (as in cheap quality) was nearly 16! I was like HECK NO! So I jumped on Amazon (btw amazon is the best shoutout to all the hard workers running this website and service) and searched a laptop sleeve. After approximately 9.24 seconds of searching I came across this gem. COULD IT BE! An affordable, durable, and classy laptop sleeve for under 10. Being the educated consumer I started to read reviews. I came across a few that said: Laptop Didn't Fit. This was it, this was the end, I built it all up to let myself down. But being the poor High-School student I am, I pocketed some of my parents lunch money and ordered it. When it got here I opened the package. You know the scene in Star Wars when Darth Vader removed his mask That's what it was like, shocking, but beautiful. I unboxed it and immediately took my laptop out of my backpack (which was stored in a nice soft tee-shirt previous to this sleeve purchase) and tried to slip it in the case. Wow. The sleeve fit like a glove.If you have a 13.3 Macbook Pro Mid 2012, I highly recommend this product. It protects your laptop very well and snug. No other sleeve is as affordable, fashionable, and durable as this one."
"Perfect. 340 people found this helpful. Was this review helpful to you Yes No Recently, I spent my hard earned money on a 13.3 Macbook Pro Mid 2012. I like to take care of my personal belongings, and this 1000 piece of machinery was no exception. So this began my search for a laptop sleeve. Wandering my local general stores (Wal-Mart, Target, Best Buy, etc.) I noticed a cheap laptop sleeve (as in cheap quality) was nearly 16! I was like HECK NO! So I jumped on Amazon (btw amazon is the best shoutout to all the hard workers running this website and service) and searched a laptop sleeve. After approximately 9.24 seconds of searching I came across this gem. COULD IT BE! An affordable, durable, and classy laptop sleeve for under 10. Being the educated consumer I started to read reviews. I came across a few that said: Laptop Didn't Fit. This was it, this was the end, I built it all up to let myself down. But being the poor High-School student I am, I pocketed some of my parents lunch money and ordered it. When it got here I opened the package. You know the scene in Star Wars when Darth Vader removed his mask That's what it was like, shocking, but beautiful. I unboxed it and immediately took my laptop out of my backpack (which was stored in a nice soft tee-shirt previous to this sleeve purchase) and tried to slip it in the case. Wow. The sleeve fit like a glove.If you have a 13.3 Macbook Pro Mid 2012, I highly recommend this product. It protects your laptop very well and snug. No other sleeve is as affordable, fashionable, and durable as this one."
"Perfect. 342 people found this helpful. Was this review helpful to you Yes No Recently, I spent my hard earned money on a 13.3 Macbook Pro Mid 2012. I like to take care of my personal belongings, and this 1000 piece of machinery was no exception. So this began my search for a laptop sleeve. Wandering my local general stores (Wal-Mart, Target, Best Buy, etc.) I noticed a cheap laptop sleeve (as in cheap quality) was nearly 16! I was like HECK NO! So I jumped on Amazon (btw amazon is the best shoutout to all the hard workers running this website and service) and searched a laptop sleeve. After approximately 9.24 seconds of searching I came across this gem. COULD IT BE! An affordable, durable, and classy laptop sleeve for under 10. Being the educated consumer I started to read reviews. I came across a few that said: Laptop Didn't Fit. This was it, this was the end, I built it all up to let myself down. But being the poor High-School student I am, I pocketed some of my parents lunch money and ordered it. When it got here I opened the package. You know the scene in Star Wars when Darth Vader removed his mask That's what it was like, shocking, but beautiful. I unboxed it and immediately took my laptop out of my backpack (which was stored in a nice soft tee-shirt previous to this sleeve purchase) and tried to slip it in the case. Wow. The sleeve fit like a glove.If you have a 13.3 Macbook Pro Mid 2012, I highly recommend this product. It protects your laptop very well and snug. No other sleeve is as affordable, fashionable, and durable as this one."
"birthday present The larger one was bought for me as part of a Christmas gift...I enjoyed mine so much that I bought this one for a birthday gift.....sturdy, stylish, padded and protects well. Good buy for the price"
Four Stars For the price very good value and its lasting well
"great deal quick ship a must have ! holds everything laptop,amp,mini external memory drive,headphones,3d glasses,tablet cables,and still have 2 extra pockets awesome,well made product. thank you !"
"Great for the price Very nice product for the money. Only use it once a week, should last long time, would buy again."
Great Notebook Case I purchased this case based on appearance and quality as shown on the picture with details. I was even more impressed upon arrival. The case has everything I need. A separate compartment for my A/C power cord. The padding is well constructed to protect my Notebook Computer. Well worth every cent I paid. I am extremely please by all the features.
"Great value Was not what I expected, he price was so low that I expected a, runner-up, type of bag but this is perfect. Delighted with it."
"Great value! This is a quality product, well constructed with durable materials. Many pockets for laptop accessories or other supplies. Sometimes I use it as just a briefcase and it also serves that purpose well. All in all, it's a great value for a reasonably low price."
inconvenient to Use. I have owned the product for about a month and it is as advertised. The case only opens about a third of the way. I have always had computer bags that opened fully. It it inconvenient to have to wrestle with the laptop trying to fit it through the small opening. I recommend spending few extra shekels and buy a case that fully opens.
"Just what I wanted Cheap but doesn't appear it particularly. Does it's job fine, plenty of pockets and space, much prefer it to the back pack style"
"Laptop Bag I needed a reasonable laptop bag and got this.On arrival I put my dell Inspiron laptop inside and the charger went in the front pocket. Inside the laptop slips in the middle then your are able to put a ipad and maybe a diary either side. As there is a slide pocket each side of the laptop.It's actually well made surprisingly and the handles on top are nice and comfortable to use/hold.The strap that goes over the should is nice, maybe could of had more padding on the shoulder strap.The reason for 4 stars is that I think the case should have more padding to protect your electrical device.It's a very nice bag and I do recommend it and for the price it is great."
"Laptop Case Having looked elsewhere for this product and found them really expensive, found this on Amazon at a fantastic price and was really pleased with it."
Laptop Case I am a Verizon Technician and this laptop case is perfect for what I do!! Thank you!
laptop computer bag Very well constructed and reasonably priced.
Looks nice and has great features Everything was great and I like it very much
NICE good deal buy it not bad for the price at worth it !!
"Overall nice bag Fits well, small from outside but inside it is big, thanks"
"Professional. I liked this item for the price,quality and usability. Ideal for Laptops, tablets,paperwork and sandwiches.It comes with carry handle or Over the shoulder straps. Quality from Amazon"
protective and decent love it so far. No problems.
super fab case for any laptop would buy another again i got it for my laptop and it is fine and strong plenty of pockets
"Super Laptop Bag This bag is really great value for money, giving you everything you could want for carrying your laptop and accessories."
"You only get what you pay for arrived on time well packed disappointed with quality does the job it was only for keeping dust off second laptop,a very tight fit though"
A charger It seems to work just like any other usb plug in charger.
amazon power fast usb charger got this for my kindle 7 tablet . Does an excellent job charging the kindle fire 7 a lot faster than the one it came with the kindle fire
Amazon powerfast wall charger Best kindle charger ever. Took 30 minutes to being my kindle back to life.
awesome I was looking everywhere for this because I lost my charger for my fire stick and i finally found it at best buy. It was a great price and works perfectly!
Confident quality I was in line at a store where a elder women was trying to return a Amazon tablet. The customer service rep told her she used a charging block that had caused damage to the tablet and it wasn't covered for replacement. I happy to purchase a charging block that was made for my device.
correct plug for kindle Quickly charges kindle so son can use it. Worked great right out of the package
Disappointed I bought this because the package said it was a fast charger only to find it charges at normal speed... That was disappointing. I'm pretty sure I'm not doing anything wrong. It seems pretty self explanatory... :/
Fast Charger Bought this charger for the Kindle voyage and its great.
Fast charger This product works just as well as the higher-priced ones from the cell phone company.
"Fast charger, worth the money Bought this to use with my kindle voyage and I love it. It charges my Kindle in 3 hours or less sometimes and the battery lasts for weeks."
"Gets the job done Purchased, took home, attached to cable,plugged in. Easy to use. No problems using this charger."
Good Charges all my items extra fast. Love it when I'm short on time
Good Works great !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Good charger This wall charger works exactly as described for the Kindle Paperwhite.
"Good plug I assumed this item would have a cord with the plug. Never assume. It was the plug only. The cord on my 7"" Kindle is very short so I bought a 4 foot cord also. Now I keep the shorter cord with me so I can charge on the go, the longer cord and new plug are what I use at home. Satisfied"
"good product pretty convenient to have another cable to charge the kindle,, great price and ready to have it on hand"
Grea gift for my wife My son and I bought my wife the Kindle Paperwhite for Christmas and she loves it! This charger is great for trips where we need a charge in the vehicle or while visiting relatives!
Great charger Bought this for my new Kindle since they no longer come with chargers. It's fast and can be used for my phone.
"Great charger for the Kindle Fire Tried different charging blocks, nothing worked properly. Plugged in the Amazon block, Kindle came right up."
"Great charger, very fast This is the third I have had to buy/ They seem to only work for a year before needing to be replaced. I have the warranty but no patience for the replacement to be mailed to me with all the forms."
Great charger! Love it. Best charger I ever bought. Quickly charges my Kindle and my cell phone.
Great charger! This charger is improved from the other one I had. It takes less time to fully charge and the charge lasts longer.
Great item Have been using this item and it seems to be working quite well.
"Great Service, great purchase I found that I was immediately sked by a staff member if I needed help. I received good advice and shown similar alternative products. What I bought was perfect for what I wanted. The price was quite reasonable."
I prefer to get power directly. Hey--It works. I prefer to get a battery recharge direct from the source instead of from my computer. The cord is convenient.
It's a wall charger Wall charger is convenient. Just wish it was sold with the kindle instead of having to purchase it separate. Seems like it should be standard in the package. Had to purchase in a bundle in order to get it included with kindle.
Kindle Quick Charger Great product for quickly charging your Kindle!!!!
Nice one Good one and working without any issues. Slim and portable
not any faster it does not charge any faster than regular charger.
"Required to charge your Kindle. The only problem that I had is that it should have been included with the Kindle Paperwhite. There is no way to charge the Paperwhite unless you buy the charger. The charging port on the Paperwhite is so small that nothing that I already have will work. Kindle does not even provide a USB cable so that you can charge from your computer. The outlet plug is cheep plastic (hollow) and will probably break, no warranty."
Satisfied It does what it is suppose to. No problems with it...
Spot On! Exactly what I needed. Didn't want to settle for a generic off brand charger. Thanks to Best Buy I didn't have to.
"useful charger This works well, charges book readers quickly and easily"
"Very happy with product I purchased this wall charger because I have had issues with Samsung and other Kindle chargers. So far, this charger is great. Devices charge rapidly."
"Why only 4? I gave this Amazon charger only four stars, because even though it does a great job of charging my new Paperwhite quickly it should be included with the reader and not sold separately."
Works good Works good for a plug in for the kindle fire that I bought
works great just bought. seems to be working great so far. not sure how long it will last.
"Works great Replacement charger for my son's Kindle, works great, highly recommended."
"Yet to fail... Hey it's only a wall charger...Hey it's only a wall charger...Hey it's only a wall charger... Yet to fail, nough said."
". Nice hand sized tablet While there are some apps that are missing due to not using the Google Play Store the list is minimal. The tablet itself is quick, responsive, and noticeable nicer than the 7"" fire. Picked this up when it was on sale for black friday sales. It's great for in front of the TV and catching up on email and light web browsing."
2nd purchase I bought one last year for one cousin and had to continue for another this year. Great buy imo.
3rd time is the charm I will try again for the 3rd time with my new Amazon Fire. It seems to have nice upgrades.
"5 star service bought this for my father, who never did much on computers and was not sure he would actually use this. He unwrapped it, asked for some games to be downloaded and hasn't looked back! He has used the internet as well as the game apps and couldn't be happier."
7 year old granddaughter loves it This was a request from our 7 yr old granddaugter who had always asked her older sister if she could share hers due to we bought this same tablet/size a few yrs earlier. Loved the security/parental control options.Starfall a favorite educational app were told is a must have. Really enjoy Pics/Viber due to their in a different state. Also some games on a time limit. Size and resolution are perfect.
"8"" fire 16gb tablet I am bring it back for an exchange. (a different make)"
A cheap tablet I was hoping to use Google launcher with this tablet but it is really locked down and you cannot change the launcher or the lock screen. Still cheap and fine for watching movies.
A gift She loves it . it's the best thing we could of ever brought her
